3,3,0,3,0,3,0,3,0,3
1,1,0,1,0,1,0,1,0,1
6,5,0,6,0,6,0,6,0,6
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
12,2,3,12,2,12,3,12,2,12
1,1,0,1,0,1,0,1,0,1
5,4,0,5,0,5,0,3,0,3
1,1,0,1,0,1,0,1,0,1
12,2,3,12,2,12,3,12,2,12
12,2,3,12,3,12,3,12,3,12
14,3,5,14,3,14,5,14,3,14
27,2,27,27,24,27,27,27,24,27
1,1,0,1,0,1,0,1,0,1
12,5,3,12,3,12,3,12,3,12
6,2,0,6,0,6,0,6,0,6
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
14,3,3,14,3,14,3,14,3,14
34,5,43,34,33,34,43,34,33,34
69,3,370,69,363,69,374,69,364,69
98,2,2428,98,2299,98,2437,98,2302,98
189,3,25887,189,25156,189,25925,189,25167,189
