98,2,493,98,566,98,500,98,569,98
76,1,205,76,200,76,208,76,201,76
116,1,1143,116,1254,116,1157,116,1259,116
2,2,0,2,0,1,0,1,0,1
51,1,59,51,59,51,60,51,59,51
28,1,15,28,12,28,15,28,12,28
20,1,5,20,4,20,5,20,4,20
116,1,918,116,653,116,927,116,658,116
77,1,214,77,221,77,217,77,222,77
33,1,17,33,14,31,17,31,14,31
126,1,1163,126,948,126,1173,126,950,126
43,1,33,43,26,43,33,43,26,43
13,2,2,13,2,13,2,13,2,13
102,5,537,102,561,102,541,102,564,102
109,2,704,109,764,109,712,109,767,109
74,1,184,74,207,74,188,74,209,74
123,1,1087,123,1031,123,1097,123,1035,123
137,1,1738,137,1668,137,1747,137,1673,137
30,4,15,30,13,30,15,30,13,30
106,3,662,106,555,106,667,106,558,106
112,1,733,112,598,112,742,112,602,112
43,1,42,43,36,43,43,43,36,43
135,1,1489,135,1397,134,1496,134,1404,134
94,1,380,94,455,94,383,94,456,94
142,1,1742,142,1819,142,1759,142,1824,142
70,2,143,70,112,69,145,69,112,69
71,1,220,71,175,71,223,71,176,71
137,1,1504,137,1625,137,1516,137,1630,137
74,1,190,74,171,73,192,73,172,73
96,2,491,96,512,96,496,96,514,96
128,1,1327,128,1354,128,1338,128,1358,128
54,4,74,54,61,53,75,53,61,53
13,1,3,13,2,13,3,13,2,13
54,1,86,54,83,54,87,54,84,54
32,1,12,32,10,31,12,31,10,31
26,1,11,26,7,26,11,26,7,26
40,1,40,40,31,40,40,40,31,40
68,1,140,68,181,68,142,68,182,68
94,1,323,94,412,94,327,94,413,94
35,1,22,35,20,35,22,35,20,35
6,1,0,6,0,6,0,6,0,6
43,1,25,43,23,43,25,43,23,43
66,2,190,66,132,66,192,66,133,66
45,1,32,45,28,45,32,45,28,45
78,1,172,78,226,78,176,78,227,78
55,3,100,55,79,55,101,55,79,55
19,1,5,19,5,19,5,19,5,19
58,3,100,58,100,58,101,58,101,58
57,1,87,57,76,57,88,57,76,57
46,1,42,46,39,46,42,46,39,46
144,1,1851,144,1856,144,1861,144,1862,144
133,1,1409,133,1414,133,1413,133,1418,133
109,1,687,109,654,109,694,109,657,109
135,1,1566,135,1571,135,1574,135,1576,135
109,1,680,109,661,109,684,109,663,109
77,1,215,77,187,77,216,77,188,77
130,1,1281,130,1192,130,1290,130,1195,130
145,1,1559,145,1832,145,1570,145,1835,145
107,2,705,107,516,107,711,107,518,107
116,1,742,116,752,116,749,116,754,116
133,1,1071,133,986,133,1079,133,989,133
135,1,1370,135,946,134,1375,134,949,134
136,1,1105,136,1036,136,1113,136,1039,136
142,5,1677,142,1401,142,1680,142,1404,142
