3,0,3,0,3,0,3,0,3
126,1108,126,1248,126,1121,126,1254,126
34,21,34,32,32,23,32,32,32
124,1190,124,1076,124,1201,124,1079,124
49,54,49,37,48,55,48,38,48
76,209,76,173,76,211,76,174,76
100,519,100,529,100,528,100,533,100
131,1485,131,1420,131,1494,131,1424,131
28,12,28,10,27,12,27,10,27
104,566,104,634,104,577,104,637,104
65,158,65,130,65,160,65,131,65
13,2,13,2,13,2,13,2,13
126,938,126,1252,126,949,126,1256,126
18,3,18,3,18,3,18,3,18
83,289,83,239,82,292,82,240,82
146,2054,146,2123,146,2076,146,2132,146
28,12,28,11,28,12,28,11,28
24,8,24,7,24,8,24,7,24
127,1253,127,1142,127,1261,127,1146,127
61,97,61,109,61,99,61,110,61
145,1786,145,1705,145,1796,145,1710,145
75,185,75,177,75,188,75,179,75
99,570,99,553,99,575,99,555,99
124,1063,124,1126,123,1071,123,1130,123
12,2,12,2,11,2,11,2,11
108,677,108,776,108,685,108,779,108
94,406,94,492,94,414,94,494,94
119,1009,119,866,119,1019,119,871,119
45,60,45,48,45,61,45,48,45
20,17,20,21,20,17,20,21,20
97,449,97,510,97,455,97,513,97
134,1679,134,1654,134,1688,134,1661,134
58,97,58,86,58,99,58,87,58
59,97,59,115,59,99,59,116,59
4,0,4,0,4,0,4,0,4
36,27,36,26,36,27,36,26,36
99,611,99,519,99,617,99,521,99
79,230,79,234,79,235,79,236,79
24,9,24,9,24,9,24,9,24
98,482,98,520,98,487,98,522,98
83,277,83,273,82,281,82,275,82
84,294,84,264,84,295,84,265,84
89,365,89,338,89,368,89,339,89
55,80,55,72,55,81,55,72,55
96,389,96,376,96,394,96,378,96
126,1300,126,1326,126,1306,126,1330,126
95,406,95,474,95,411,95,476,95
16,4,16,3,16,4,16,3,16
45,37,45,36,45,37,45,36,45
72,135,72,182,72,138,72,184,72
6,0,6,0,6,0,6,0,6
47,31,47,30,47,32,47,30,47
101,494,101,610,101,502,101,612,101
60,89,60,100,60,90,60,101,60
99,545,99,505,99,550,99,507,99
65,130,65,118,65,132,65,119,65
8,0,8,0,8,0,8,0,8
54,83,54,78,54,84,54,78,54
133,1303,133,1342,133,1311,133,1345,133
137,1396,137,1418,137,1409,137,1423,137
22,7,22,6,22,7,22,6,22
12,1,12,2,12,1,12,2,12
22,7,22,6,22,7,22,6,22
139,1457,139,1515,139,1466,139,1520,139
58,85,58,99,58,86,58,99,58
67,125,67,126,67,127,67,127,67
73,183,73,178,73,186,73,180,73
143,1725,143,1648,143,1736,143,1655,143
25,11,25,9,24,11,24,9,24
116,891,116,1008,116,904,116,1011,116
101,526,101,446,101,531,101,448,101
65,134,65,151,65,136,65,152,65
36,20,36,16,36,20,36,16,36
140,1574,140,1961,140,1595,140,1966,140
99,495,99,494,99,502,99,497,99
29,15,29,14,29,15,29,14,29
147,2175,147,2039,147,2188,147,2044,147
131,1335,131,1027,131,1346,131,1031,131
132,1251,132,1218,132,1262,132,1224,132
120,886,120,996,120,899,120,1000,120
91,342,91,375,91,346,91,377,91
28,13,28,11,28,13,28,11,28
93,362,93,351,93,368,93,354,93
132,1589,132,1602,132,1597,132,1606,132
147,1962,147,2091,147,1980,147,2098,147
63,106,63,108,63,107,63,108,63
135,1285,135,1073,135,1290,135,1076,135
99,643,99,539,99,646,99,541,99
99,468,99,447,99,473,99,449,99
112,634,112,580,112,641,112,582,112
118,887,118,973,118,896,118,976,118
62,119,62,116,62,121,62,117,62
101,544,101,535,101,549,101,536,101
142,1486,142,1269,142,1497,142,1272,142
79,217,79,169,79,219,79,170,79
105,431,105,422,105,436,105,423,105
110,725,110,696,110,730,110,699,110
130,951,130,918,129,954,129,921,129
43,27,43,25,43,27,43,25,43
139,1592,139,1133,139,1599,139,1136,139
