1,1,0,1,0,1,0,1,0,1
4,2,0,4,0,4,0,4,0,4
1,1,0,1,0,1,0,1,0,1
12,3,2,12,1,12,2,12,1,12
42,26,47,42,15,28,47,24,15,24
39,12,39,39,15,29,39,27,15,27
50,14,98,50,55,41,99,37,55,37
50,14,158,50,77,44,159,41,77,41
65,39,248,65,76,46,248,36,76,36
31,10,32,31,31,31,32,27,31,27
61,31,227,61,42,40,227,29,42,29
21,8,8,21,7,20,8,19,7,19
1,1,0,1,0,1,0,1,0,1
5,5,0,5,0,5,0,3,0,3
49,33,96,49,34,37,96,33,34,33
1,1,0,1,0,1,0,1,0,1
40,24,54,40,40,37,54,28,40,28
48,33,81,48,30,36,81,32,30,32
41,22,55,41,57,39,55,31,57,31
8,3,1,8,1,8,1,8,1,8
78,45,619,78,304,66,619,48,304,48
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
63,31,292,63,74,44,293,38,74,38
80,39,545,80,353,69,546,58,354,58
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
16,4,4,16,3,15,4,15,3,15
99,43,1496,99,551,75,1498,67,552,67
61,28,162,61,64,47,163,39,64,39
8,2,0,8,0,6,0,6,0,6
22,7,6,22,4,19,6,16,4,16
6,3,0,6,0,5,0,5,0,5
41,12,82,41,61,37,83,37,61,37
103,58,1821,103,824,83,1822,66,825,66
44,7,75,44,58,41,76,41,58,41
111,59,2486,111,1023,88,2487,72,1024,72
88,14,956,88,586,79,962,74,588,74
52,31,124,52,84,47,126,34,84,34
1,1,0,1,0,1,0,1,0,1
16,3,4,16,4,16,4,16,4,16
2,1,0,2,0,2,0,2,0,2
53,27,119,53,26,33,119,26,26,26
47,22,78,47,19,30,78,22,19,22
36,16,34,36,12,25,34,20,12,20
82,4,811,82,757,79,817,79,758,79
38,24,43,38,21,30,43,25,21,25
1,1,0,1,0,1,0,1,0,1
69,34,358,69,119,52,359,48,119,48
125,44,3995,125,1644,99,3997,89,1646,89
17,2,5,17,5,17,5,17,5,17
3,2,0,3,0,3,0,3,0,3
84,37,728,84,229,60,728,48,229,48
1,1,0,1,0,1,0,1,0,1
55,34,153,55,41,38,153,33,41,33
131,71,4648,131,1610,98,4650,79,1612,79
32,21,28,32,10,24,28,23,10,23
39,24,55,39,19,30,55,27,19,27
105,60,2022,105,487,70,2023,61,488,61
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
125,69,3926,125,1077,89,3928,81,1079,81
40,23,41,40,17,30,41,26,17,26
124,40,8226,124,2940,96,8228,80,2942,80
60,22,194,60,35,36,194,30,35,30
106,42,2065,106,811,84,2066,68,812,68
128,54,7010,128,1693,94,7012,62,1694,62
63,37,302,63,112,45,302,41,112,41
93,21,1491,93,796,79,1497,64,797,64
46,20,88,46,88,46,89,41,88,41
68,36,286,68,60,40,286,37,60,37
17,12,6,17,2,14,6,14,2,14
