1,1,0,1,0,1,0,1,0,1
3,2,0,3,0,3,0,3,0,3
1,1,0,1,0,1,0,1,0,1
2,2,0,2,0,2,0,2,0,2
9,5,1,9,1,9,1,7,1,7
1,1,0,1,0,1,0,1,0,1
10,1,1,10,0,10,1,10,0,10
5,2,0,5,0,5,0,5,0,5
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
17,3,6,17,5,17,6,17,5,17
7,4,0,7,0,7,0,7,0,7
10,4,1,10,1,10,1,10,1,10
1,1,0,1,0,1,0,1,0,1
36,3,33,36,33,36,33,36,33,36
13,2,2,13,2,13,2,13,2,13
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
31,19,20,31,18,31,20,31,18,31
32,12,28,32,25,32,28,30,25,30
9,4,1,9,1,9,1,9,1,9
1,1,0,1,0,1,0,1,0,1
7,4,0,7,0,7,0,7,0,7
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
39,7,64,39,60,39,64,39,60,39
30,4,22,30,18,30,22,30,18,30
7,3,0,7,0,7,0,7,0,7
13,5,3,13,2,13,3,12,2,12
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
8,3,1,8,0,8,1,8,0,8
4,3,0,4,0,4,0,4,0,4
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
8,2,0,8,0,8,0,8,0,8
11,2,1,11,1,11,1,11,1,11
13,2,2,13,2,13,2,13,2,13
29,2,18,29,20,29,18,29,20,29
18,5,5,18,4,18,5,18,4,18
5,3,0,5,0,5,0,5,0,5
45,11,74,45,70,45,75,45,70,45
1,1,0,1,0,1,0,1,0,1
37,2,49,37,46,37,50,37,46,37
28,5,17,28,22,28,17,28,22,28
6,2,0,6,0,6,0,6,0,6
20,5,8,20,9,20,8,20,9,20
55,3,150,55,146,55,152,55,146,55
61,3,228,61,245,61,231,61,246,61
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
23,8,14,23,13,23,14,20,13,20
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
53,3,146,53,140,53,148,53,140,53
2,2,0,2,0,2,0,2,0,2
1,1,0,1,0,1,0,1,0,1
47,4,100,47,103,47,101,47,103,47
1,1,0,1,0,1,0,1,0,1
33,24,26,33,26,33,26,33,26,33
13,3,3,13,3,13,3,13,3,13
26,6,14,26,17,26,14,26,17,26
1,1,0,1,0,1,0,1,0,1
5,2,0,5,0,5,0,5,0,5
1,1,0,1,0,1,0,1,0,1
4,2,0,4,0,4,0,4,0,4
1,1,0,1,0,1,0,1,0,1
14,2,3,14,2,14,3,14,2,14
1,1,0,1,0,1,0,1,0,1
53,11,249,53,292,53,250,53,292,53
31,10,30,31,22,31,30,30,22,30
44,7,71,44,76,44,72,44,76,44
28,5,24,28,19,28,24,28,19,28
2,2,0,2,0,2,0,2,0,2
6,3,0,6,0,6,0,6,0,6
1,1,0,1,0,1,0,1,0,1
30,4,19,30,22,30,19,30,22,30
38,2,41,38,40,38,42,38,40,38
1,1,0,1,0,1,0,1,0,1
4,2,0,4,0,4,0,4,0,4
12,6,2,12,2,12,2,12,2,12
6,2,0,6,0,6,0,6,0,6
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
1,1,0,1,0,1,0,1,0,1
7,4,0,7,1,7,0,6,1,6
