94,1510,94,1508,94,1517,94,1512,94
26,15,26,14,26,15,26,14,26
8,0,8,0,8,0,8,0,8
115,3448,115,3432,115,3460,115,3435,115
8,1,8,0,8,1,8,0,8
25,12,25,11,25,12,25,11,25
8,0,8,1,8,0,8,1,8
80,721,80,706,80,725,80,708,80
14,3,14,2,14,3,14,2,14
37,42,37,39,37,42,37,39,37
14,2,14,5,14,2,14,5,14
10,1,10,1,10,1,9,1,9
13,2,13,2,13,2,13,2,13
90,1559,90,1544,90,1561,90,1546,90
17,5,17,5,17,5,17,5,17
81,738,81,746,81,743,81,747,81
148,11747,148,11702,148,11770,148,11709,148
8,0,8,0,8,0,8,0,8
15,4,15,4,15,4,15,4,15
180,24621,180,23620,180,24652,180,23629,180
25,14,25,13,25,14,25,13,25
113,2923,113,2862,113,2934,113,2865,113
50,107,50,107,50,108,50,107,50
14,7,14,3,14,7,14,3,14
8,0,8,0,8,0,8,0,8
8,1,8,1,8,1,8,1,8
15,6,15,3,15,6,15,3,15
33,29,33,29,33,29,33,29,33
14,3,14,2,14,3,14,2,14
70,424,70,421,70,425,70,422,70
14,3,14,2,14,3,14,2,14
9,2,9,1,9,2,9,1,9
13,2,13,2,13,2,13,2,13
7,0,7,0,7,0,7,0,7
27,15,27,13,27,15,27,13,27
165,18093,165,17701,165,18119,165,17709,165
9,2,9,1,9,2,9,1,9
10,1,10,1,10,1,10,1,10
68,369,68,398,68,372,68,399,68
13,2,13,2,13,2,13,2,13
26,17,26,16,26,17,26,16,26
23,9,23,9,23,9,23,9,23
69,342,69,337,69,344,69,338,69
95,1630,95,1557,95,1637,95,1559,95
17,10,17,6,17,10,17,6,17
9,1,9,1,9,1,9,1,9
165,18465,165,17174,165,18490,165,17182,165
11,1,11,1,11,1,11,1,11
15,3,15,3,15,3,15,3,15
146,11082,146,10568,146,11101,146,10574,146
8,1,8,1,8,1,8,1,8
42,62,42,60,42,62,42,60,42
94,1518,94,1508,94,1525,94,1510,94
18,8,18,7,18,8,18,7,18
4,0,4,0,4,0,4,0,4
26,19,26,18,26,19,26,18,26
145,11460,145,10590,145,11491,145,10601,145
32,33,32,32,32,33,32,32,32
82,1217,82,1229,82,1229,82,1232,82
31,28,31,28,31,28,31,28,31
13,3,13,3,13,3,13,3,13
2,0,2,0,2,0,2,0,2
4,0,4,0,4,0,4,0,4
116,5127,116,5197,116,5153,116,5204,116
183,46796,183,26295,183,46813,183,26305,183
8,1,8,1,8,1,8,1,8
3,0,3,0,3,0,3,0,3
27,24,27,23,27,24,27,23,27
34,80,34,65,34,81,34,65,34
7,1,7,0,7,1,7,0,7
